about,address,email,facebook,friday_dinner,friday_lunch,friday_tables,instagram,mon_thu_dinner,mon_thu_lunch,mon_thu_tables,name,pdf_urls,phone,saturday_dinner,saturday_lunch,saturday_tables,slug,sunday_dinner,sunday_lunch,sunday_tables,url,videos,website
,"200 Turf Club Road
#03-01/02 Main Grandstand Turf City",reservations@ahyat.com.sg,,$988–$1588,$988–$1588,10–40,,$988–$1588,$988–$1588,10–40,Ah Yat Seafood Restaurant,,6883 2112,$988–$1588,$988–$1588,10–40,,$988–$1588,$988–$1588,10–40,,,
"Stay & Play on your Big Day at Aloft Singapore Novena Come celebrate love with us in a dazzling event that's all about romance! Here at Aloft Singapore Novena, we offer stylish décor with a spacious banquet space. Make your grand entrance at the Balestier Ballroom, featuring a high ceiling, pillar-free ballroom with cutting-edge audio-visual tech and a LED videowall that seats up to 260 guests. The Zhongshan Room is perfect for hosting an intimate function, accommodating up to 120 guests. With its full-length glass window, the room offers breathtaking views of Zhongshan Park. Or exchange your vows in our exquisitely landscaped Outdoor Event Lawn and say ""I do"" in style. Indulge in our unforgettable Mediterranean or Asian themed buffet at our Halal-certified 21 on Rajah that seats up to 188 guests and create lasting memories with your family and friends. Our amazing team of wedding planners will take care of every detail, while you and your guests indulge in the mouthwatering creations ",16 Ah Hood Road,sales@aloftsingapore.com,https://www.facebook.com/AloftSingaporeNovenaSG/videos/1548279755976122,$1964–$1964,$1724–$1724,10–26,https://www.instagram.com/aloftsingapore,$1964–$1964,$1724–$1724,10–26,Aloft Singapore Novena,"[""https://singaporebrides.com/d/system/documents/contents/000/001/307/original/Wedding_Lunch_Package_2026.pdf?1768556572"", ""https://singaporebrides.com/d/system/documents/contents/000/001/308/original/Wedding_Dinner_Package_2026.pdf?1768556579"", ""https://singaporebrides.com/d/system/documents/contents/000/001/432/original/Weekday_Wedding_Package_final.pdf?1721271161""]",6808 6888,$1964–$1964,$1724–$1724,10–26,aloft-singapore-novena,$1964–$1964,$1724–$1724,10–26,https://singaporebrides.com/d/aloft-singapore-novena/,,https://www.marriott.com/en-us/hotels/sinnv-aloft-singapore-novena/overview/
"W EDDING IN THE GARDEN Set amongst 3.8 hectares of lush tropical gardens and tranquil beauty, yet just minutes from downtown Singapore, Amara Sanctuary Sentosa blends nostalgic architecture with contemporary style, gives your wedding celebration the grandeur it deserves. Together with beaches and many other attractions on the island, having your celebration at Sentosa adds a dimension of fantasy to your dream wedding. At Amara Sanctuary, our wedding planners take their roles seriously. If you have a themed concept in mind, a list of favorite flowers or even an elaborate plan you think may not be possible, just share it with us. We have worked with Singapore's top florists whose expertise in bridal arrangement will astound you. And if you have a preferred florist, rest assured we'll be delighted to work with them. Feel free to ask us how you can go about arranging for anything you are not sure of. Nothing you wish for will put us out of our way. Amara Sanctuary Sentosa was named Best Ov","1 Larkhill Road, Sentosa",wedding@amarasanctuary.com,https://www.facebook.com/AmaraSanctuaryResort,$2743–$2743,$2384–$2384,15–40,https://www.instagram.com/amarasanctuary/,$2384–$2384,$2384–$2384,15–40,Amara Sanctuary Sentosa,"[""https://singaporebrides.com/d/system/documents/contents/000/000/699/original/Amara_Sanctuary_Wedding_Package_2025_2026.pdf?1740016829"", ""https://singaporebrides.com/d/system/documents/contents/000/001/128/original/Amara_Sanctuary_Solemnisation_Package_2025_2026.pdf?1740016853""]",6825 3838,$2863–$2863,$2384–$2384,15–40,amara-sanctuary-resort-sentosa,$2743–$2743,$2384–$2384,15–40,https://singaporebrides.com/d/amara-sanctuary-resort-sentosa/,,http://sentosa.amarahotels.com/
"W edding In The City At Amara Singapore At Amara Singapore, we understand that this is a very special day for you as a couple. It has to be truly unique, a statement of how you both cherish each other and want to spend your lives together. We will be truly honoured if you let us help you create everlasting memories of this personal affair. From a sophisticated solemnisation ceremony and intimate reception, to a traditional tea ceremony and a glamorous wedding, our dedicated wedding planners will be glad to orchestrate this very special event for you. Step into the epitome of elegance at our brand new pillarless Grand Ballroom, offering unobstructed views and seamless experience for up to 400 guests. Picture a grand entrance as you walk down the 38-meter-long aisle, setting the stage for unforgettable lifetime moments. Elevate your experience with our contemporary and sleek LED Wall, a dynamic canvas to showcase cherish memories that will last a lifetime. Capacity: 250 to 400 persons Fo",165 Tanjong Pagar Road,weddings@amarahotels.com,https://www.facebook.com/amarasingapore/,$2264–$2264,$2264–$2264,20–40,https://www.instagram.com/amarasingapore/,$2264–$2264,$2264–$2264,20–40,Amara Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/606/original/2._2026_27_ASIN_WeddingPackage_Adore_BLiss_Cherish.pdf?1759203534""]",6879 2588,$2384–$2863,$2384–$2863,20–40,amara-singapore,$2384–$2863,$2384–$2863,20–40,https://singaporebrides.com/d/amara-singapore/,,http://singapore.amarahotels.com/
"B EGIN YOUR UNFORGETTABLE JOURNEY WITH US At Andaz Singapore, we understand that no two weddings are the same, and the word “Andaz” which translates to “personal style” in Hindi, represents the wedding experience that we aim to create for every couple and their guests. That is, a personalised and unforgettable event that celebrates the union of two individuals that embodies their style and beliefs. From intimate ceremonies to grand weddings, Andaz Singapore’s alleyway-inspired events floor, Alley on 3, features dynamic barrier-free space with two unique venues for different styles of wedding celebrations. The only venue of its kind in Singapore and the largest venue within the hotel, catering up to 380 wedding guests, the Glasshouse is inspired by a glass box design and has stunning floor-to-ceiling windows on three sides. For a more intimate wedding, the smaller of the two venues, Garden Studio, offers an indoor pavilion that adjoins a picturesque outdoor garden This is a sophisticate",5 Fraser Street,GetMarried.sg@andaz.com,https://www.facebook.com/AndazSingapore/,$2854–$2854,$2854–$2854,7–28,https://www.instagram.com/andazsingapore/,$2854–$2854,$2854–$2854,7–28,Andaz Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/542/original/Wedding-Package-Andaz-Singapore.pdf?1764297050"", ""https://singaporebrides.com/d/system/documents/contents/000/001/678/original/World_of_Hyatt-Be_More_Rewarded_Weddings.pdf?1777368085""]",6408 1234,$3093–$3093,$2854–$2854,7–28,andaz-singapore,$2734–$2734,$2854–$2854,7–28,https://singaporebrides.com/d/andaz-singapore/,"[""https://youtu.be/1mruLtK0imk?si=NeadanBIObpUemwP""]",https://singapore.andaz.hyatt.com/
"N estled within a lush enclave in the heart of the city, Artyzen Singapore is a modern lifestyle hotel inspired by the vibrant culture, colours, and flavours of Singapore. Once home to “Villa Marie,” a tropical garden mansion built by the great-grandson of philanthropist Tan Tock Seng, the hotel honours its heritage through thoughtful design and soulful hospitality. A proud recipient of One MICHELIN Key, Artyzen Singapore offers a setting where modern elegance meets heartfelt tradition. From quiet solemnisations to intimate dinners and elegant soirées, our thoughtfully designed spaces and bespoke touches set the stage for a celebration that feels personal, effortless, and unforgettable.",9 Cuscaden Road,sales.sg@artyzenhotels.com,https://www.facebook.com/ArtyzenSingapore/,$3453–$4412,$3453–$4412,3–7,https://www.instagram.com/artyzensingapore/,$3453–$4412,$3453–$4412,3–7,Artyzen Singapore,,6363 6000,$3453–$4412,$3453–$4412,3–7,artyzen-singapore,$3453–$4412,$3453–$4412,3–7,https://singaporebrides.com/d/artyzen-singapore/,,https://www.artyzen.com/en/hotels/artyzen-singapore/
,"1 Orchid Club Rd, #02-35 Social Club House",occ@banheng.com.sg,,$1088–$1738,$1088–$1738,10–100,,$838–$1538,$838–$1538,10–100,Ban Heng @ Orchid Country Club,,6732 7888,$1088–$1738,$1088–$1738,10–100,,$1088–$1738,$1088–$1738,10–100,,,
"A t Capella Singapore, that moment unfolds in a place where time slows, senses awaken, and the world feels as though it exists solely for the two of you. Set within lush grounds and framed by the gentle rhythm of the sea, this is a sanctuary of understated elegance — where heritage architecture meets contemporary refinement. Here, every great love story finds its setting. From intimate garden solemnisation ceremonies to grand affairs set within our heritage spaces, vows are exchanged in landscaped gardens or celebrated through refined receptions framed by nature and architecture, each venue offering its own character and sense of occasion. From your earliest conversations through to the final moments of your day, our dedicated team works quietly behind the scenes, listening first and guiding every detail with care. Through considered planning, personalised service, and thoughtful culinary experiences, we bring your vision to life in a way that feels natural, effortless, and entirely yo",1 Knolls Sentosa Island,cateringsales.singapore@capellahotels.com,https://www.facebook.com/capellasingapore.sentosa,$3573–$4292,$3453–$4292,15–40,https://www.instagram.com/capellasingapore/,$3573–$4292,$3453–$4292,15–40,Capella Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/654/original/Capella_Singapore_Wedding_Packages_Grand_Ballroom_2026.pdf?1770688783"", ""https://singaporebrides.com/d/system/documents/contents/000/001/655/original/Capella_Singapore_Wedding_Packages_Sentosa_Room_2026.pdf?1770688804"", ""https://singaporebrides.com/d/system/documents/contents/000/001/656/original/Capella_Singapore_Wedding_Packages_Solemnisation_2026.pdf?1770688822""]",6377 8888,$3813–$4292,$3453–$4292,15–40,capella-singapore,$3573–$4292,$3453–$4292,15–40,https://singaporebrides.com/d/capella-singapore/,"[""https://www.youtube.com/@capella.singapore""]",https://www.capellahotels.com/en/capella-singapore
"C elebrate your joyous occasion with us at Carlton Hotel Singapore and let our team of dedicated professionals provide you with the dream wedding you have always wanted. Choose from 13 function rooms for the perfect venue to suit your occasion. Begin your lifelong journey together and march down the isles in the high-ceiling pillar-less Empress Ballroom. We promise it will be a night both you and your guests will remember. For an intimate solemnisation or luncheon, the Esplanade Room with contemporary décor will create the ideal atmosphere for a sophisticated celebration. Delight in an exquisite range of dishes specially prepared by our team of culinary experts from the award-winning Wah Lok Cantonese Restaurant. Capacity: 100 - 320 Pax",76 Bras Basah Road,banquet@carltonhotel.sg,https://www.facebook.com/CarltonHotelSG,$2036–$2396,$1760–$2396,10–32,https://www.instagram.com/carltonhotelsingapore/,$2036–$2396,$1760–$2396,10–32,Carlton Hotel Singapore,"[""https://singaporebrides.com/d/system/documents/contents/000/001/543/original/New_Wedding_Package_2026.pdf?1764900954"", ""https://singaporebrides.com/d/system/documents/contents/000/001/688/original/Empress_Wedding_Package_2027.pdf?1774236150"", ""https://singaporebrides.com/d/system/documents/contents/000/001/630/original/esplanade-wedding-package-2026.pdf?1767581002"", ""https://singaporebrides.com/d/system/documents/contents/000/001/689/original/Esplanade_Wedding_Package_2027.pdf?1773288939""]",6311 8181,$2036–$2396,$1760–$2396,10–32,carlton-hotel-singapore,$2036–$2396,$1760–$2396,10–32,https://singaporebrides.com/d/carlton-hotel-singapore/,,http://www.carltonhotel.sg/
"T ucked away in a little corner of Eastern Singapore lies Changi Cove, a destination and venue ideal for weddings with a whimsical charm and elegance. If you are a bride-to-be, looking for an intimate and cosy space with a rustic and quaint twist, we are right for you! Covered in natural earthy tones and accompanied by a full length two-storey glass window facing Changi Coves’ scenic foliage, the Auditorium makes a perfect spot for couples looking for something out-of-the-ordinary and in touch with nature.",351 Cranwell Road,cc.enquiry@changicove.com,https://www.facebook.com/ChangiCove/,$1724–$2254,$1484–$1858,13–22,https://www.instagram.com/changicovesingapore/,$1484–$2254,$1484–$1858,13–22,Changi Cove,"[""https://singaporebrides.com/d/system/documents/contents/000/000/989/original/Changi_Cove_Chinese___Western_Wedding_Package_2026_2027.pdf?1772611364"", ""https://singaporebrides.com/d/system/documents/contents/000/001/209/original/Changi_Cove_Intimate_OR_Solemnisation_Package_2026_2027.pdf?1772611370"", ""https://singaporebrides.com/d/system/documents/contents/000/000/994/original/Changi_Cove_Indian_Wedding_Package_2026_2027.pdf?1772611377"", ""https://singaporebrides.com/d/system/documents/contents/000/000/992/original/Changi_Cove_Muslim_Wedding_Package_2026_2027.pdf?1772611385"", ""https://singaporebrides.com/d/system/documents/contents/000/001/484/original/Changi_Cove_Wedding_Brochure.pdf?1756693570""]",6922 6108,$1724–$2254,$1484–$1858,13–22,changi-cove,$1724–$2254,$1484–$1858,13–22,https://singaporebrides.com/d/changi-cove/,,https://conferencecentre.changicove.com/wedding-banquet/
